IID	PC1	PC2
NA20903	0.07569569	0.04233615
NA20904	0.08168048	0.0809437
NA20911	0.07496096	0.02031993
NA21116	0.07940467	0.0288192
NA21123	0.07311182	0.03262405
NA21097	0.07258886	0.04019496
NA20862	0.08380998	0.07666516
NA19020	-0.6877433	-0.08253969
HG00160	0.08937655	0.2286431
HG03007	0.08246439	-0.02095367
HG03006	0.08363621	-0.02002855
HG03793	0.08243155	-0.01804983
HG03796	0.08860105	-0.06046683
HG02571	-0.7312073	-0.09326568
HG03085	-0.7455021	-0.1042293
HG03100	-0.7464583	-0.1009074
HG02574	-0.7005233	-0.07841762
HG02464	-0.7310834	-0.09623541
HG02943	-0.7438407	-0.1006746
HG02922	-0.7487932	-0.1014153
HG02974	-0.7463073	-0.09971913
HG03109	-0.7440792	-0.1016318
HG02573	-0.7172476	-0.0900429
HG02923	-0.7442533	-0.1012538
HG03078	-0.7394253	-0.09787675
HG03097	-0.7542828	-0.1049225
HG03057	-0.7456995	-0.100782
HG03099	-0.7520597	-0.1043892
HG03108	-0.7434552	-0.09749577
HG02570	-0.7275723	-0.09798916
HG03052	-0.7469441	-0.09821301
HG03076	-0.7332365	-0.09815385
NA19023	-0.7032682	-0.09381672
NA19024	-0.702184	-0.08606735
NA19017	-0.7021551	-0.09347647
HG02465	-0.7333389	-0.09585742
NA19019	-0.6971849	-0.08852862
NA19026	-0.6937391	-0.08362527
HG02790	0.08081404	0.009395292
HG02601	0.06913628	0.0401616
HG02600	0.07853435	0.03002237
HG03072	-0.7454066	-0.1029274
HG03069	-0.7482927	-0.1048209
HG03589	0.07736069	-0.02717854
HG03009	0.08803424	-0.01852324
HG03585	0.08478331	-0.02929374
HG03012	0.08026354	-0.03035366
Ayodo_430C	-0.6950467	-0.09210499
Ayodo_468C	-0.4811442	-0.03376424
Ayodo_460C	-0.6907565	-0.08891116
Ayodo_412C	-0.7040182	-0.0932349
Ayodo_502C	-0.6947424	-0.08842859
Ayodo_438C	-0.691732	-0.08562768
Ayodo_604C	-0.6967494	-0.08504931
Ayodo_423C	-0.700557	-0.08937373
Ayodo_458C	-0.7013018	-0.09205307
Ayodo_36M	-0.1039069	-0.105818
Ayodo_43S	-0.3402715	0.04412579
Ayodo_81S	-0.3609905	0.03870672
Ayodo_52S	-0.3746036	0.03679193
Ayodo_61S	-0.357174	0.0402102
Ayodo_41S	-0.3719551	0.03170199
Ayodo_40S	-0.3518413	0.04016882
Ayodo_34S	-0.3500477	0.0379624
Ayodo_35S	-0.3704683	0.0416746
Ayodo_5S	-0.3832074	0.03612321
IHW9192(NON,L)	0.0629639	0.05058356
IHW9195(WON,C)	0.03397197	-0.1588614
IHW9193(WON,M)	0.03492984	-0.1593461
IHW9194(WON,I)	0.07595685	-0.07850577
IHW9196(HAY,KJ)	0.06033365	0.04696251
IHW9117(IHL,AD031)	0.02721011	0.021027
CHI007	0.1379113	-0.2856221
CHI034	0.1567186	-0.3320652
DCH002	0.134125	-0.2600469
DCH006	0.1298827	-0.2612578
DCH007	0.153853	-0.3149052
DCH008	0.1342353	-0.2570148
DCH009	0.1445342	-0.3003588
DCH010	0.1372413	-0.2633973
DCH011	0.1325922	-0.2652532
DCH012	0.1402803	-0.2723814
Zapo0046	0.1767543	-0.2451817
Zapo0097	0.1755099	-0.2379475
Zapo0059	0.1695674	-0.2507955
Zapo0091	0.1700072	-0.2503723
Zapo0082	0.1793594	-0.2441783
Zapo0083	0.1748501	-0.2510088
Zapo0095	0.1788972	-0.2340173
Zapo0076	0.1697427	-0.2349617
Zapo0072	0.1708668	-0.2370922
Zapo0064	0.1692731	-0.2416244
Mixa0016	0.1701906	-0.2513154
Mixa0001	0.1754131	-0.2477523
Mixa0061	0.161597	-0.249341
Mixa0049	0.1669031	-0.2520497
Mixa0002	0.1691831	-0.2147291
Mixa0018	0.173062	-0.245124
Mixa0024	0.1589904	-0.2457372
Mixa0078	0.1661032	-0.2425709
Mixa0087	0.1574527	-0.2275249
Mixa0093	0.1576589	-0.2404492
IranianJew1560	0.04054972	0.189013
LibyanJew1438	0.01776482	0.2007552
GOR063	-0.4380792	-0.001003316
Malta4AM91	0.04628257	0.2073581
Malta8AM91	0.04877129	0.2181096
Bolivian41	0.1602511	-0.221623
Ul56	0.1609541	-0.3288289
Kusunda10	0.1176004	-0.2054327
Tunisian200000	-0.09311191	0.1609942
CRO53	0.08577815	0.2221629
AshkenaziJew5779	0.05644444	0.207674
SephardiJewTurkey6051	0.02024387	0.1999593
SephardiJewTurkey4955	0.04725415	0.2096618
SA047	-0.7833993	-0.1141497
NOR119	0.09251656	0.2175813
Balikesir16558	0.03291068	0.1717205
Kusunda05	0.1235303	-0.2184348
NOR124	0.08888207	0.2164712
CRO103	0.0805723	0.2286968
Kusunda11	0.1208243	-0.1905524
Ul55	0.1681835	-0.3363036
CRO107	0.08234962	0.2242719
TunisianJew1421	0.02514885	0.2127722
SephardiJewTurkey5877	0.05164012	0.2106207
Kusunda01	0.1134432	-0.1636486
Sir50	0.1681445	-0.277813
TP08	0.05978781	0.216329
Ckrd13	0.1634397	-0.2904865
SA016	-0.793966	-0.1154638
GREEKGRALPOP18	0.07569702	0.2275086
GOR067	-0.4523318	0.002356837
EthiopianJew1818	-0.2737641	0.08332978
AshkenaziJew5782	0.05581891	0.2117524
Kusunda03	0.1326413	-0.2521859
SA018	-0.7587731	-0.1037536
Kusunda04	0.1311805	-0.2335645
BEL57	0.05787456	0.2240202
Sir43	0.1710936	-0.2747962
Algerian43A22	-0.1162377	0.1427804
Ul16	0.1675943	-0.3415031
BAS35	0.08253798	0.2346976
Egypt8BA65	-0.1664943	0.1292118
Ul69	0.1730919	-0.3387372
Kor31	0.1551631	-0.2298391
Esk22	0.1693859	-0.2831916
SR23	0.06129082	0.2173932
Kor33	0.1606568	-0.2481038
Ul1	0.1707851	-0.340255
Kor2	0.1625088	-0.290418
Kor22	0.166709	-0.2868832
CRO47	0.09011652	0.2168503
NOR106	0.09048602	0.2164115
CRO41	0.08506438	0.2249791
Nesk19	0.1695907	-0.2770755
Kusunda07	0.1331399	-0.2606599
Malta7AM91	0.04325515	0.221055
SephardiJewTurkey4953	0.03551243	0.2190381
SephardiJewTurkey6077	0.04692566	0.220985
NOR101	0.09295672	0.2106835
SephardiJewTurkey5832	0.05036036	0.2131978
YemeniteJew4684	0.01348462	0.2044267
Kusunda02	0.1200617	-0.200115
Kor60	0.1690293	-0.2863513
TP05	0.05508985	0.2181762
Kayseri24392	0.07380255	0.1768821
Egypt17AQ176	-0.05108149	0.1705558
YemeniteJew4695	0.01227243	0.2007072
SR60	0.05282446	0.2234187
Egypt19AQ172	-0.05250443	0.1669528
Kor62	0.1687933	-0.2800691
NOR146	0.09405281	0.2164393
Ul36	0.174912	-0.3293706
GOR049	-0.4404607	-0.0008769616
Kusunda15	0.1150332	-0.2238024
Nesk8	0.1710802	-0.2727974
TP06	0.05968935	0.2269784
AshkenaziJew5780	0.07453217	0.1989222
NOR108	0.09361282	0.22033
Sir41	0.1704211	-0.2811115
Ckrd18	0.1699171	-0.3098293
CRO66	0.08907324	0.2085023
IranianJew1409	0.06055487	0.2000598
NOR126	0.0905761	0.2184879
SephardiJewTurkey5075	0.05038939	0.2156381
Kor76	0.1663873	-0.282244
Bolivian39	0.1853385	-0.2687427
GREEKGRALPOP13	0.07247047	0.2224607
TP07	0.05050668	0.2187225
BAS31	0.08573623	0.2446215
ALB191	0.07555005	0.2237988
GREEKGRALPOP15	0.0742744	0.2195394
SephardiJewTurkey4950	0.05064547	0.217718
NOR107	0.09108968	0.2154536
SephardiJewTurkey5033	0.04789754	0.2212766
Ul25	0.1671546	-0.3418167
EthiopianJew4690	-0.2853993	0.07262545
GREEKGRALPOP5	0.07751731	0.2160827
Ul60	0.1568914	-0.2402559
YemeniteJew4675	0.01212327	0.1921794
CRO153	0.08355882	0.2211219
NOR109	0.09296223	0.2294065
EthiopianJew1574	-0.2815987	0.07441709
SouthFrench3326	0.08358879	0.224339
GREEKGRALPOP9	0.07759708	0.2217509
Mansi48	0.1318887	-0.04897267
TP04	0.05454478	0.2248447
CRO31	0.08256924	0.2196784
Kor35	0.1672977	-0.2871533
Bolivian62	0.1741441	-0.2387996
TP25	0.05892188	0.214597
GREEKGRALPOP4	0.07859422	0.2299654
LibyanJew1601	0.02334183	0.209913
EthiopianJew1804	-0.2795	0.07445806
MoroccanJew5134	0.02187932	0.2098127
Egypt20AQ172	-0.0622239	0.1735276
CRO93	0.08597501	0.2209536
Malta17AM91	0.04826854	0.2107935
Ul52	0.1745162	-0.339216
KuchinJew30052	0.07283378	0.04708387
SouthFrench3947	0.08043372	0.2351848
SouthFrench1323	0.08702531	0.2321781
SR48R	0.06069322	0.210874
Balikesir16675	0.08048432	0.1446461
YemeniteJew4938	0.01436319	0.2037704
SR44	0.05738138	0.2197742
Kor78	0.1722889	-0.2816498
Egypt15AQ172	-0.05694368	0.1714615
SR64	0.05498984	0.2214388
NOR148	0.09288799	0.2147138
Kusunda12	0.1346753	-0.2614569
IraqiJew4061	0.0488156	0.2197764
CYP19	0.05752708	0.2194607
CRO48	0.08538752	0.2243781
GREEKGRALPOP17	0.07218035	0.2233795
Ul70	0.1701351	-0.339616
Algerian43A21	-0.1125118	0.153393
Egypt3AQ172	-0.03761097	0.1775589
ALB213	0.07512934	0.2207709
Turkish7BA57	0.07951496	0.1633866
BAS22	0.08474724	0.2360521
Tunisian20C1	-0.0913264	0.1615437
GREEKGRALPOP16	0.06954556	0.223923
Bolivian72	0.152922	-0.1873374
LibyanJew1104	0.03375422	0.205105
Balikesir16790	0.07751141	0.1379141
NOR111	0.09194166	0.2311398
SouthFrench3951	0.08188767	0.2356603
Bolivian46	0.1840714	-0.2599303
BAS25	0.08707572	0.2402531
BAS32	0.08692332	0.248195
GREEKGRALPOP11	0.0736624	0.2264848
SAH27	-0.1469403	0.1462535
Tunisian20F4	-0.09323855	0.1563482
GREEKGRALPOP10	0.07364107	0.2131368
Bolivian71	0.1608639	-0.1962018
EthiopianJew1822	-0.2663101	0.07053303
IraqiJew1524	0.04810106	0.2058835
Malta2AM91	0.04722259	0.2135224
GREEKGRALPOP3	0.08270397	0.2230086
Malta16AM91	0.03968609	0.2095874
GREEKGRALPOP8	0.07732571	0.2268683
IranianJew1132	0.05825751	0.2064474
MoroccanJew5126	0.03159095	0.209398
Turkish8BA62	0.08272336	0.1618398
LibyanJew1462	0.02574679	0.2076851
CYP5	0.05125895	0.2155644
IraqiJew4077	0.02371683	0.2092737
SouthFrench3068	0.07580951	0.2373269
Egypt1AQ172	-0.04788618	0.1695611
Cyprus13AJ19	0.05963119	0.2192897
Algerian43A34	-0.08514368	0.1724709
Algerian43A13	-0.1153707	0.1582265
TunisianJew1763	0.02791441	0.2131605
Malta15AM91	0.05242875	0.2146894
SAH21	-0.1365905	0.1546043
MoroccanJew4634	0.03315154	0.2100885
IraqiJew1424	0.05688005	0.2048847
LibyanJew1263	0.01563527	0.2131821
Istanbul20010	0.07430768	0.1728334
BAS30	0.08628392	0.2313837
SAH24	-0.1342753	0.1470595
Cyprus24AJ19	0.05995263	0.2235582
YemeniteJew4667	0.0009444322	0.1948143
TunisianJew1507	0.02255166	0.2090564
IraqiJew4241	0.04856924	0.203765
Tunisian20D4	-0.1131625	0.1508226
TunisianJew1544	0.03239529	0.2063579
AshkenaziJew5783	0.05988284	0.2108665
SAH34	-0.1518701	0.1426013
Turkish4BA57	0.08247594	0.1479505
AshkenaziJew5704	0.06067011	0.215442
Tunisian20A5	-0.1125487	0.154265
MoroccanJew4789	0.03098912	0.2095997
IranianJew1159	0.05664004	0.2058173
Egypt5AQ172	-0.05444743	0.1717222
MoroccanJew5168	0.03198451	0.2022426
IranianJew1513	0.05794519	0.2039457
AshkenaziJew5728	0.06294635	0.2126453
ALB202	0.08193572	0.2191322
BAS29	0.07792476	0.2392634
Algerian43A24	-0.1237122	0.1547292
YemeniteJew4960	0.006934101	0.2003172
GREEKGRALPOP12	0.08144872	0.2168492
SouthFrench1112	0.0810909	0.2331996
AshkenaziJew5790	0.05747375	0.2114107
Trabzon21529	0.0779877	0.1730723
SAH18	-0.1289129	0.1546992
EthiopianJew1570	-0.2806088	0.07114599
CYP2	0.05869234	0.2212486
Mansi76	0.1341342	-0.08321405
GeorgianJew1607	0.06492191	0.1891815
GeorgianJew1671	0.06157204	0.207145
Cyprus2AJ19	0.05326411	0.2172519
Tunisian20C4	-0.0837846	0.1734203
Adana23114	0.06946354	0.1821373
GREEKGRALPOP14	0.07423031	0.2284742
Egypt8AT113	-0.07773046	0.1730101
IranianJew1556	0.05637065	0.2076121
TunisianJew1170	0.03163309	0.2182094
TunisianJew1531	0.03152714	0.2170482
Balikesir16563	0.06960339	0.2096027
SouthFrench4018	0.08160729	0.2292291
SAH9	-0.1387532	0.1509448
Trabzon21177	0.0669966	0.2130041
GeorgianJew1577	0.06144086	0.2130444
Algerian43A32	-0.1173394	0.1437507
BAS28	0.08586536	0.2415478
Aydin18784	0.076823	0.1432574
IraqiJew1417	0.05142988	0.2144463
Istanbul19810	0.07921935	0.1771652
Trabzon21557	0.06528287	0.2155298
LibyanJew1611	0.02686616	0.2069414
IranianJew1557	0.06176365	0.203916
GeorgianJew1971	0.06544575	0.2039116
GeorgianJew1594	0.06486762	0.2080226
SAH20	-0.1816476	0.1258598
MoroccanJew4692	0.03435139	0.2132085
ALB212	0.07915422	0.229698
KuchinJew20551	0.05235077	0.13316
Egypt12AQ172	-0.05484682	0.1719239
Egypt9AQ177	-0.0694928	0.1670256
GeorgianJew1961	0.09843274	0.2067225
IraqiJew1771	0.052386	0.209423
YemeniteJew5433	0.01242221	0.2039176
Mansi94	0.1390886	-0.07433678
Algerian43A23	-0.1188106	0.1566777
ALB220	0.06494275	0.2236289
Cyprus22AJ19	0.05893337	0.2223152
YemeniteJew4937	0.00847408	0.1975505
Bishkek28452	0.1412159	-0.1569604
Egypt9AQ172	-0.0607093	0.1688928
Malta12AM91	0.04348101	0.222011
Trabzon21534	0.06596109	0.2058435
LibyanJew1605	0.01676534	0.2088152
BAS27	0.08516027	0.2425461
Cyprus21AJ19	0.05782581	0.2142882
EthiopianJew1831	-0.2752173	0.08132667
TunisianJew1511	0.02710906	0.2058052
Turkish9BA57	0.07908118	0.1539377
Tunisian20D1	-0.1231632	0.15158
Tunisian20B4	-0.08459052	0.1583152
Kayseri24075	0.06808561	0.1872756
Egypt7AQ172	-0.04908544	0.1738009
Bolivian81	0.1625263	-0.2144598
IraqiJew4291	0.05016909	0.208842
ALB230	0.08229716	0.2241165
AshkenaziJew5775	0.06338103	0.2143446
Adana23108	0.04750455	0.2082182
IranianJew1143	0.05443413	0.210015
MoroccanJew4683	0.03903242	0.2147116
KuchinJew20622	0.06472652	0.1087961
Ale33	0.1125191	0.08780662
Balikesir16887	0.08437292	0.1366745
IranianJew1832	0.05882851	0.2025943
GeorgianJew1654	0.05768311	0.2029104
Bishkek28442	0.1434822	-0.164143
BAS33	0.08369331	0.2374806
KuchinJew20851	0.06683602	0.04836855
GeorgianJew1972	0.05073844	0.2210775
Mansi43	0.1331457	-0.02348589
KuchinJew20320	0.067271	0.04504264
GeorgianJew1883	0.06252467	0.203514
LibyanJew1639	0.02473483	0.21064
LibyanJew1659	0.01340862	0.2110887
Kayseri24266	0.0763355	0.1720076
Balikesir16653	0.07901551	0.1393873
Istanbul25095	0.08980342	0.1766052
Aydin18112	0.07511028	0.1449238
Aydin18414	0.07952374	0.2163533
Kayseri24402	0.07163789	0.1755339
Balikesir16577	0.06336782	0.2140016
Istanbul25081	0.07954983	0.1713004
Aydin18596	0.08546854	0.1240744
Ale20	0.146948	-0.0942554
Ale35	0.1225695	0.04895793
Istanbul17778	0.0805694	0.1548419
IraqiJew1430	0.04984598	0.2076624
Bishkek28443	0.1446634	-0.1620713
Istanbul15781	0.06845171	0.1931193
Bishkek28445	0.1374626	-0.1648385
Adana23136	0.04317283	0.2158818
Ul51	0.1719845	-0.3354209
Ale37	0.1174616	0.07838567
Mansi79	0.1404561	-0.08801419
AshkenaziJew5788	0.05430397	0.2176651
Mansi91	0.1353774	-0.06706311
Adana23113	0.06807164	0.1888639
Bishkek28451	0.1445635	-0.1645255
Trabzon21575	0.07172878	0.2032028
Aydin18636	0.07468156	0.1539039
Istanbul20040	0.06703122	0.1799497
Aydin18587	0.04305074	0.1371509
Balikesir16837	0.09106653	0.1439514
Adana23144	0.06455435	0.1266664
Ale34	0.1378183	-0.04201126
Kayseri23967	0.0738237	0.1675032
IranianJew1845	0.05753268	0.1983209
Trabzon21174	0.07201638	0.2125683
Aydin18873	0.07776021	0.1572814
Bishkek28449	0.1433024	-0.1701881
Kayseri23892	0.07222288	0.1664347
Istanbul19185	0.08022065	0.1689846
Istanbul25098	0.0795342	0.2132628
Adana23133	0.06225675	0.1744269
Aydin18948	0.06994344	0.1873122
Trabzon21515	0.06941121	0.2265599
Kayseri24032	0.07329345	0.1688252
Mansi84	0.1457312	-0.08585127
Kayseri23549	0.07055883	0.1628349
Bishkek28444	0.125609	-0.09222783
Trabzon21544	0.06929822	0.2214994
Adana23150	0.07035949	0.1754511
Kayseri23271	0.07012388	0.1962256
Trabzon21645	0.06783981	0.2091739
Adana23147	0.05235613	0.1838726
Balikesir16514	-0.004618106	0.151055
Bishkek28456	0.1422619	-0.1525485
Egypt22TD21	-0.05362442	0.1700971
Ul39	0.1720499	-0.3392016
Aydin18483	0.08228097	0.1257206
Ale22	0.1467197	-0.1092305
Balikesir17006	0.0826689	0.1411416
Aydin18419	0.08379635	0.1442626
Kayseri24276	0.06994649	0.186194
Bishkek28446	0.1365324	-0.1447582
Istanbul19708	0.08343676	0.1392376
Mansi56	0.1332719	-0.04883713
Trabzon21173	0.06893025	0.2180514
Ale36	0.103213	0.1788752
Adana23112	0.07608262	0.1467366
Bishkek28454	0.1431657	-0.1750047
Adana23117	0.07081169	0.1651298
MBE3	-0.6140574	-0.08722922
MBE11	-0.5687313	-0.07170783
MBE13	-0.6309565	-0.0994802
MBE16	-0.596362	-0.07921521
MBE19	-0.5689747	-0.06855077
MBE22	-0.5551634	-0.06303436
MBE23	-0.6016131	-0.08270515
GN01	0.1577096	-0.3002617
W14	0.1592328	-0.3552032
Han1994	0.1637483	-0.3579697
Zhuang01	0.1653669	-0.3523812
GN03	0.1493152	-0.305359
W10	0.1594477	-0.3532383
Han1207	0.1656662	-0.3568134
Zhuang012	0.1579367	-0.351256
GN10	0.1587815	-0.3037903
J6	0.1650865	-0.3516542
Han1235	0.1664484	-0.3582031
Zhuang019	0.1585379	-0.3486571
GN17	0.1587589	-0.2957847
J58	0.1635611	-0.3565141
Han1415	0.1628949	-0.3559312
Zhuang02	0.1620268	-0.3517486
GN19	0.1563993	-0.3017157
J17	0.158847	-0.353294
Han1432	0.1571653	-0.3550489
Zhuang04	0.1594239	-0.3610183
HK03	0.1484447	-0.1967132
J9	0.1620333	-0.3572271
Han1434	0.162709	-0.3520356
Zhuang013	0.1614199	-0.3514935
HK4	0.1475382	-0.2283994
J29	0.1615838	-0.3542208
Han2087	0.1646108	-0.3642052
GL01	0.1615063	-0.3533671
HK14	0.1329635	-0.1437835
Ba37	0.1046562	-0.05141437
Han2088	0.164322	-0.3560775
GL02	0.1567856	-0.3507507
HK15	0.1439285	-0.231036
Ba02	0.1429322	-0.2895956
Han894	0.1651063	-0.3476475
GL09	0.1594674	-0.3467359
BAO60	0.1579592	-0.313053
Ba48	0.08567926	0.04876204
Han1226	0.1665702	-0.3447205
GL07	0.1605642	-0.3431555
BAO53	0.1524557	-0.2909997
Te18	0.1189932	-0.2115676
Han1243	0.1674705	-0.3429851
GL10	0.1539801	-0.3416902
BAO15	0.1506572	-0.2698888
Te16	0.1154499	-0.1305929
Han1713	0.1721895	-0.3522609
GL23	0.1652707	-0.3604884
BAO12	0.1620281	-0.3212106
Ma41	0.136421	-0.2387266
Han1714	0.1652509	-0.3519567
GL13	0.1625385	-0.3569523
BAO26	0.1494737	-0.270197
Ma11	0.145113	-0.2815716
Han788	0.1634873	-0.3621399
GL16	0.1619434	-0.3539548
BAO47	0.1545269	-0.2828583
Ma30	0.1395712	-0.2572247
Han789	0.1658964	-0.364125
GL20	0.1635741	-0.3492416
BAO54	0.1539312	-0.3036916
Ma23	0.1535006	-0.3247386
Han874	0.1647975	-0.3575439
Ne41	0.1179512	-0.1509165
EYG48	0.1587201	-0.3209276
Ma07	0.1423025	-0.2891589
Han2161	0.1697715	-0.3586449
Ne72	0.10883	-0.1330564
EYG28	0.1521409	-0.2718505
Ma28	0.1368832	-0.2378964
Han2162	0.1723307	-0.3546717
Ne30	0.111617	-0.1508942
EYG13	0.1652958	-0.340795
Gu18	0.1535227	-0.3216911
Han1452	0.1667746	-0.3577673
Ne08	0.1210981	-0.1648701
EYG18	0.1629454	-0.3299811
Gu22	0.1423559	-0.2870826
Han1962	0.1706309	-0.3595134
Ta39	0.1404429	-0.2475631
Gu24	0.1479395	-0.2913721
Han2054	0.166159	-0.3573171
Ta43	0.1418092	-0.2756235
EYG31	0.166243	-0.3374317
Gu26	0.1504546	-0.3148359
Han2057	0.1667129	-0.359913
Ta24	0.1429764	-0.2720902
XYG19	0.1598167	-0.3391901
Gu27	0.1381744	-0.2688457
Han2058	0.1702692	-0.3567969
Ta64	0.1423463	-0.2759566
KZ78	0.1310335	-0.1369977
Rai16	0.1592186	-0.3359979
Han2076	0.1704702	-0.3578494
Ta03	0.1288499	-0.2238278
KZ35	0.1432209	-0.1816622
Rai12	0.152588	-0.3048881
Han2090	0.1644813	-0.3629031
Ta80	0.1373945	-0.25536
KZ15	0.142423	-0.1746399
Rai09	0.1485298	-0.2959726
Han4	0.1638606	-0.3556803
Ta52	0.1342747	-0.2615002
KZ77	0.1275978	-0.1153435
Rai14	0.1525811	-0.32136
Han25	0.1666997	-0.3453307
Ta05	0.1370023	-0.2639577
KZ52	0.1389738	-0.1623974
Rai04	0.1507514	-0.3234857
Han853	0.1660579	-0.3525034
Ba15	0.08936372	-0.02355555
KZ12	0.1436273	-0.1919475
Ne66	0.1236887	-0.163348
Han1329	0.1651639	-0.3482587
Ba25	0.09678632	-0.0486883
KZ83	0.1418265	-0.1821814
Ne61	0.1161791	-0.150638
Han1616	0.1667416	-0.3516833
Te09	0.1077132	-0.07363183
CS411	0.1540727	-0.350528
Ne35	0.1131694	-0.1405323
Han1840	0.1640183	-0.353573
Te15	0.1169025	-0.1976991
LS001	0.1569223	-0.3540983
Ne01	0.1027383	-0.06349586
Han1896	0.1692362	-0.3482325
Te06	0.1243915	-0.2107276
SY071	0.1532227	-0.3494373
Sherpa08	0.1528861	-0.3174338
Han1916	0.16969	-0.3543123
Zhuang09	0.1561535	-0.3582818
WZS058	0.149849	-0.3508855
Sherpa04	0.1553726	-0.3238404
Han1978	0.1651235	-0.3531912
Zhuang08	0.1591538	-0.3513577
Dong02	0.159104	-0.3488487
Sherpa13	0.1514227	-0.3193779
Han24	0.1706082	-0.3610266
W29	0.1619789	-0.3537585
Dong03	0.1597139	-0.3533203
Sherpa09	0.1503756	-0.3201016
Han496	0.1696471	-0.3499553
W3	0.155841	-0.3595868
Dong05	0.161337	-0.3592258
T141	0.1583287	-0.3318261
Han115	0.1704697	-0.3508851
W11	0.1609251	-0.3580151
Dong08	0.1565795	-0.3558434
T173	0.1553919	-0.3337966
Han790	0.1647361	-0.3416452
B87	0.1629758	-0.3541834
Dong09	0.1586642	-0.3646507
T274	0.1584042	-0.324292
Han855	0.1642371	-0.3424479
B26	0.1604467	-0.3615009
Dong10	0.1640615	-0.3561845
T363	0.1574506	-0.3261791
Han1603	0.1663153	-0.3405082
J32	0.159826	-0.3591011
Dong11	0.1618697	-0.349508
T247	0.1543473	-0.3267874
Han1843	0.1695134	-0.3473474
J33	0.163516	-0.3569842
Dong14	0.1577187	-0.3605711
T74	0.1535711	-0.3384768
Han1897	0.1640709	-0.3341182
J36	0.1611762	-0.3561137
Zhuang03	0.1554783	-0.3509343
T144	0.1573109	-0.3270357
Han1899	0.168315	-0.3489366
A114	0.1592984	-0.3575133
Z01	0.1603778	-0.3508785
T194	0.1593736	-0.3322666
Han1970	0.1687952	-0.3526463
B3	0.1587985	-0.3558079
Z02	0.1551451	-0.3491409
T196	0.1589057	-0.3392232
Han1709	0.1635252	-0.3533397
W13	0.162913	-0.3547447
Z05	0.1603703	-0.348524
T273	0.1575964	-0.3278886
Han1917	0.166656	-0.3513812
BM32	0.1643031	-0.3365707
XHTB7	0.1535521	-0.3001138
T282	0.158721	-0.3184449
Han2044	0.1689721	-0.3510758
QH1	0.1547487	-0.2998223
XHTB17	0.1479512	-0.3025553
T283	0.1532421	-0.329684
Han2145	0.1641568	-0.3579065
QH5	0.1542809	-0.3053998
XHTB20	0.1302406	-0.304407
T21	0.1579866	-0.3133492
Han2147	0.1621573	-0.3557625
QH7	0.1525509	-0.3007333
SL1	0.1503989	-0.2766102
T165	0.1544673	-0.3217294
Han2151	0.1643085	-0.3570217
QH18	0.1572558	-0.2972583
SL2	0.1505444	-0.2657912
T170	0.1527652	-0.3209166
Han2155	0.1648737	-0.3547676
QH10	0.1502097	-0.2967901
SL3	0.1413802	-0.2590403
T181	0.1538023	-0.3108064
Tibetan870	0.1568093	-0.3305461
HKC90	0.1360372	-0.1623316
SL6	0.1479904	-0.2465092
T183	0.1526012	-0.3160624
Tibetan871	0.1594578	-0.34154
HKC29	0.1394122	-0.1479442
SL7	0.1493995	-0.2668736
T76	0.1548325	-0.3272061
Tibetan872	0.1600455	-0.3378621
QH9	0.1560731	-0.2975768
SL9	0.1512182	-0.2697159
T125	0.1542015	-0.3167079
Tibetan937	0.155256	-0.3349562
QH14	0.1577362	-0.3054414
SL10	0.1507805	-0.2515596
T185	0.1559782	-0.3209981
Han53	0.1651293	-0.3648671
QH17	0.1544874	-0.3050774
SL15	0.1471826	-0.2534015
T67	0.1581204	-0.3316781
Han192	0.1686305	-0.3621516
Zhuang015	0.1625547	-0.3527374
YJ86	0.1528173	-0.2800073
T91	0.1520347	-0.3256021
Han278	0.1692091	-0.3620635
Zhuang018	0.1649415	-0.3554433
YJ14	0.1571759	-0.3382998
T121	0.1566989	-0.3229461
Han605	0.1623991	-0.3634241
Zhuang11	0.1636299	-0.3591904
YJ39	0.1567114	-0.3333839
T187	0.1502642	-0.3249552
Han993	0.1646857	-0.3509276
Zhuang017	0.1627657	-0.3568263
YJ01	0.1457571	-0.3315185
T238	0.1598205	-0.3230927
Han220	0.1653095	-0.3499317
Zhuang020	0.1651379	-0.3527623
YJ140	0.1556573	-0.3331471
T278	0.150991	-0.3135283
DBB006	0.1616367	-0.3319031
B81	0.1626745	-0.3558228
YJ37	0.1566618	-0.3289684
T312	0.1560957	-0.3195143
DBA19	0.1649635	-0.3490163
B48	0.1598734	-0.3537809
YJ12	0.1525388	-0.3341427
T320	0.1569454	-0.3199246
DBA021	0.1649481	-0.3566646
B49	0.1589847	-0.3624351
YJ111	0.1567553	-0.3385182
T22	0.1554193	-0.3193801
DBB007	0.1665728	-0.3390077
KZ46	0.1382675	-0.157072
YJ25	0.1421547	-0.3221591
T41	0.1520013	-0.3148137
DBA017	0.1614174	-0.3488067
KZ81	0.147084	-0.188909
YJ104	0.1576031	-0.3360347
T77	0.1559161	-0.3205683
BM10	0.1612119	-0.3353571
KZ87	0.1379017	-0.1530995
XL120	0.1486219	-0.3196754
T78	0.1514839	-0.3215174
BM43	0.1638603	-0.3591829
KZ65	0.1416051	-0.1650742
XL61	0.1605551	-0.342465
T80	0.1498214	-0.319864
BM24	0.1568894	-0.3308048
KZ22	0.1334346	-0.1269387
XL20	0.1622861	-0.3499458
T189	0.1529876	-0.3259792
BM26	0.1567114	-0.3268509
